DBCODE,ENTITY,COMPLEX,MEADOW,PLOT_ID,YEAR,SAMPLEDATE,WATCH,OBSERVER,PLOT,FLW_STATUS,PLTSP_CODE,PLTSP_NAME,NO_STALK,NO_FLWS,QC_NOTES
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-01,3,"Andy",3,FLW,"CIRSCALL","Cirsium callilepis",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-01,3,"Andy",3,FLW,"ERIGFOLI","Erigeron foliosus",2,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-01,3,"Andy",3,FLW,"LUPILAXI","Lupinus laxiflorus",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-01,3,"Andy",3,FLW,"ORTHIMBR","Orthocarpus imbricatus",170,2.5,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-07,4,"Andy",3,FLW,"ACHIMILL","Achillea millefolium",2,55.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-07,4,"Andy",3,FLW,"AGOSAURA","Agoseris aurantiaca",5,1.5,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-07,4,"Andy",3,FLW,"CIRSCALL","Cirsium callilepis",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-07,4,"Andy",3,FLW,"ERIGFOLI","Erigeron foliosus",3,3.1,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-07,4,"Andy",3,FLW,"ORTHIMBR","Orthocarpus imbricatus",50,7.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-14,5,"Andy",3,FLW,"ACHIMILL","Achillea millefolium",1,36.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-14,5,"Andy",3,FLW,"AGOSAURA","Agoseris aurantiaca",4,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-14,5,"Andy",3,FLW,"CIRSCALL","Cirsium callilepis",2,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-14,5,"Andy",3,FLW,"ORTHIMBR","Orthocarpus imbricatus",78,5.0,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-07-20,1,"ND",4,NA,"","",,,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-07-25,2,"Andy",4,FLW,"CALOSUBA","Calochortus subalpinus",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-07-25,2,"Andy",4,FLW,"COMAUMBE","Comandra umbellata",2,3.5,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-07-25,2,"Andy",4,FLW,"LUPILAXI","Lupinus laxiflorus",2,3.5,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-07-25,2,"Andy",4,FLW,"VICIAMER","Vicia americana",2,1.0,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-08-02,3,"NA",4,NA,"ACHIMILL","Achillea millefolium",,,"recoded added based on occurrence in entity 1"
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-08-02,3,"Andy, Tim",4,FLW,"ERIGFOLI","Erigeron foliosus",12,1.0,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-08-02,3,"NA",4,NA,"ORTHIMBR","Orthocarpus imbricatus",,,"recoded added based on occurrence in entity 1"
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-08-02,3,"Andy, Tim",4,FLW,"VICIAMER","Vicia americana",1,3.0,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-08-15,4,"Vera",4,FLW,"ACHIMILL","Achillea millefolium",3,59.0,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-08-15,4,"Vera",4,FLW,"ERIGFOLI","Erigeron foliosus",76,1.2,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-08-15,4,"Vera",4,FLW,"HIERCYNO","Hieracium cynoglossoides",4,1.0,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-08-15,4,"Vera",4,FLW,"ORTHIMBR","Orthocarpus imbricatus",42,5.0,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-08-22,5,"Vera",4,FLW,"ACHIMILL","Achillea millefolium",1,28.0,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-08-22,5,"Vera",4,FLW,"ERIGFOLI","Erigeron foliosus",55,1.0,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-08-22,5,"Vera",4,FLW,"ORTHIMBR","Orthocarpus imbricatus",31,5.0,""
SA026,2,"Bunchgrass",BD,BGD04,2011,2011-09-12,6,"Vera",4,NA,"","",,,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-06-29,1,"Mark",4,FLW,"FRAGVIRG","Fragaria virginiana",30,1.2,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-06-29,1,"Mark",4,FLW,"IRISCHRY","Iris chrysophylla",4,1.0,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-07-12,2,"Brian/Andy",4,FLW,"AGOSAURA","Agoseris aurantiaca",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-07-12,2,"Brian/Andy",4,FLW,"CALOSUBA","Calochortus subalpinus",19,1.7,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-07-12,2,"Brian/Andy",4,FLW,"LUPILAXI","Lupinus laxiflorus",6,6.0,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-07-12,2,"Brian/Andy",4,FLW,"PHLODIFF","Phlox diffusa",2,25.0,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-08-01,3,"Andy",4,FLW,"ACHIMILL","Achillea millefolium",8,48.0,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-08-01,3,"Andy",4,FLW,"AGOSAURA","Agoseris aurantiaca",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-08-01,3,"Andy",4,FLW,"CIRSCALL","Cirsium callilepis",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-08-01,3,"Andy",4,FLW,"ERIGFOLI","Erigeron foliosus",67,1.2,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-08-01,3,"Andy",4,FLW,"ORTHIMBR","Orthocarpus imbricatus",39,2.0,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-08-07,4,"Andy",4,FLW,"ACHIMILL","Achillea millefolium",2,61.0,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-08-07,4,"Andy",4,FLW,"AGOSAURA","Agoseris aurantiaca",13,1.8,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-08-07,4,"Andy",4,FLW,"ERIGFOLI","Erigeron foliosus",115,1.2,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-08-07,4,"Andy",4,FLW,"ORTHIMBR","Orthocarpus imbricatus",75,4.2,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-08-14,5,"Andy",4,FLW,"ACHIMILL","Achillea millefolium",3,37.0,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-08-14,5,"Andy",4,FLW,"AGOSAURA","Agoseris aurantiaca",5,2.0,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-08-14,5,"Andy",4,FLW,"ERIGFOLI","Erigeron foliosus",60,2.0,""
SA026,2,"Bunchgrass",BD,BGD04,2012,2012-08-14,5,"Andy",4,FLW,"ORTHIMBR","Orthocarpus imbricatus",78,5.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-07-20,1,"ND",5,NA,"","",,,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-07-25,2,"Andy",5,FLW,"CALOSUBA","Calochortus subalpinus",3,1.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-07-25,2,"Andy",5,FLW,"FRAGVIRG","Fragaria virginiana",2,1.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-07-25,2,"Andy",5,FLW,"LUPILAXI","Lupinus laxiflorus",9,7.9,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-08-02,3,"Andy, Tim",5,FLW,"ACHIMILL","Achillea millefolium",3,26.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-08-02,3,"Andy, Tim",5,FLW,"CALOSUBA","Calochortus subalpinus",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-08-02,3,"Andy, Tim",5,FLW,"ERIGFOLI","Erigeron foliosus",22,1.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-08-02,3,"Andy, Tim",5,FLW,"HIERCYNO","Hieracium cynoglossoides",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-08-02,3,"Andy, Tim",5,FLW,"VICIAMER","Vicia americana",6,2.2,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-08-15,4,"Vera",5,FLW,"ACHIMILL","Achillea millefolium",5,57.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-08-15,4,"Vera",5,FLW,"CIRSCALL","Cirsium callilepis",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-08-15,4,"Vera",5,FLW,"ERIGFOLI","Erigeron foliosus",112,1.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-08-15,4,"Vera",5,FLW,"HIERCYNO","Hieracium cynoglossoides",5,1.6,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-08-22,5,"Vera",5,FLW,"ACHIMILL","Achillea millefolium",1,64.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-08-22,5,"Vera",5,FLW,"ERIGFOLI","Erigeron foliosus",78,1.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-08-22,5,"Vera",5,FLW,"HIERCYNO","Hieracium cynoglossoides",5,1.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-08-22,5,"Vera",5,FLW,"ORTHIMBR","Orthocarpus imbricatus",1,7.0,""
SA026,2,"Bunchgrass",BD,BGD05,2011,2011-09-12,6,"Vera",5,NA,"","",,,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-06-29,1,"Mark",5,FLW,"FRAGVIRG","Fragaria virginiana",2,1.0,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-06-29,1,"Mark",5,FLW,"IRISCHRY","Iris chrysophylla",33,1.0,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-06-29,1,"Mark",5,FLW,"VICIAMER","Vicia americana",1,8.0,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-07-12,2,"Brian/Andy",5,FLW,"ACHIMILL","Achillea millefolium",2,52.0,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-07-12,2,"Brian/Andy",5,FLW,"CALOSUBA","Calochortus subalpinus",4,3.0,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-07-12,2,"Brian/Andy",5,FLW,"LUPILAXI","Lupinus laxiflorus",4,6.2,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-07-12,2,"Brian/Andy",5,FLW,"VICIAMER","Vicia americana",13,3.5,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-01,3,"Andy",5,FLW,"ACHIMILL","Achillea millefolium",12,59.0,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-01,3,"Andy",5,FLW,"CIRSCALL","Cirsium callilepis",12,1.2,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-01,3,"Andy",5,FLW,"ERIGFOLI","Erigeron foliosus",107,1.2,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-01,3,"Andy",5,FLW,"ORTHIMBR","Orthocarpus imbricatus",12,3.0,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-01,3,"Andy",5,FLW,"VICIAMER","Vicia americana",4,2.0,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-07,4,"Andy",5,FLW,"ACHIMILL","Achillea millefolium",7,47.0,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-07,4,"Andy",5,FLW,"AGOSAURA","Agoseris aurantiaca",26,2.5,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-07,4,"Andy",5,FLW,"CIRSCALL","Cirsium callilepis",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-07,4,"Andy",5,FLW,"ERIGFOLI","Erigeron foliosus",145,1.3,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-07,4,"Andy",5,FLW,"ORTHIMBR","Orthocarpus imbricatus",37,4.0,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-14,5,"Andy",5,FLW,"ACHIMILL","Achillea millefolium",3,36.0,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-14,5,"Andy",5,FLW,"AGOSAURA","Agoseris aurantiaca",19,2.5,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-14,5,"Andy",5,FLW,"CIRSCALL","Cirsium callilepis",5,1.5,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-14,5,"Andy",5,FLW,"ERIGFOLI","Erigeron foliosus",48,2.2,""
SA026,2,"Bunchgrass",BD,BGD05,2012,2012-08-14,5,"Andy",5,FLW,"ORTHIMBR","Orthocarpus imbricatus",25,4.0,""
SA026,2,"Bunchgrass",BD,BGD06,2011,2011-07-20,1,"ND",6,NA,"","",,,""
