DBCODE,ENTITY,COMPLEX,MEADOW,PLOT_ID,YEAR,SAMPLEDATE,WATCH,OBSERVER,PLOT,START_TIME,END_TIME,MINUTE,CLOUDS,WIND,TEMP,PPI_STATUS,NO_INT,PLTSP_CODE,PLTSP_NAME,VISSP_CODE,VISSP_NAME,VISSP_TYPE,REF_NO,VISSP_NO,QC_NOTES
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,02,PC,ST,,1,1,"FRAGVIRG","Fragaria virginiana","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,03,PC,ST,,1,1,"FRAGVIRG","Fragaria virginiana","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,05,PC,ST,,1,1,"FRAGVIRG","Fragaria virginiana","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,05,PC,ST,,1,1,"FRAGVIRG","Fragaria virginiana","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",2,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,06,PC,ST,,1,1,"FRAGVIRG","Fragaria virginiana","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,07,PC,ST,,1,1,"FRAGVIRG","Fragaria virginiana","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,07,PC,ST,,1,1,"FRAGVIRG","Fragaria virginiana","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",2,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,08,S,ST,,1,1,"FRAGVIRG","Fragaria virginiana","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,08,S,ST,,1,1,"FRAGVIRG","Fragaria virginiana","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",2,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,09,S,ST,,1,1,"FRAGVIRG","Fragaria virginiana","TAPISESS","Tapinoma sessile","omnivorous ant","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,10,S,ST,,1,1,"FRAGVIRG","Fragaria virginiana","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,12,PC,ST,,1,1,"FRAGVIRG","Fragaria virginiana","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,14,PC,ST,,1,1,"IRISCHRY","Iris chrysophylla","TAPISESS","Tapinoma sessile","omnivorous ant","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,15,PC,ST,,1,1,"FRAGVIRG","Fragaria virginiana","TAPISESS","Tapinoma sessile","omnivorous ant","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,15,PC,ST,,1,1,"IRISCHRY","Iris chrysophylla","TAPISESS","Tapinoma sessile","omnivorous ant","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-07-12,2,"Allie",1,1307,NA,10,S,ST,,1,1,"CALOSUBA","Calochortus subalpinus","BOMBVOSN","Bombus vosnesenskii","social bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-07-12,2,"Allie",1,1307,NA,14,S,ST,,1,1,"CALOSUBA","Calochortus subalpinus","BOMBVOSN","Bombus vosnesenskii","social bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,01,S,ST,,1,1,"ACHIMILL","Achillea millefolium","TRICORNA","Trichodes ornatus","bee-predator beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,01,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","NOWISPX1","Nowickia sp 1","predaceous muscoid fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,02,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","SPHASULP","Sphaerophoria sulphuripes","predaceous hover-fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,02,S,ST,,1,3,"PHACHAST","Phacelia hastata","APISMELL","Apis mellifera","social bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,03,S,ST,,1,2,"ACHIMILL","Achillea millefolium","COSMCHRY","Cosmosalia chrysostoma","herbivorous beetle","21442",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,04,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EVYLSPX2","Evylaeus sp 2","semi-social bee","21434",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,04,S,ST,,1,2,"PHACHAST","Phacelia hastata","DUFOTROC","Dufourea trochantera","solitary bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,05,S,ST,,1,2,"ERIGFOLI","Erigeron foliosus","PLEBICAR","Plebejus icarioides","herbivorous butterfly; diurnal","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,08,S,ST,,1,1,"ACHIMILL","Achillea millefolium","COSMCHRY","Cosmosalia chrysostoma","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,12,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","LEPTSPX2","Leptura sp 2","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,13,S,ST,,1,4,"ERIGFOLI","Erigeron foliosus","APISMELL","Apis mellifera","social bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,14,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","SPHASULP","Sphaerophoria sulphuripes","predaceous hover-fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,15,S,ST,,1,4,"PHACHAST","Phacelia hastata","OSMISP23","Osmia sp 23","solitary bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,1430,NA,15,S,ST,,1,2,"PHACHAST","Phacelia hastata","OSMISP23","Osmia sp 23","solitary bee","NA",2,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,01,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,01,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,02,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,02,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,03,S,ST,,1,1,"ACHIMILL","Achillea millefolium","PENTARX1","Pentaria sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,03,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,03,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,04,S,ST,,1,1,"ACHIMILL","Achillea millefolium","PENTARX1","Pentaria sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,04,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,04,S,ST,,1,1,"CIRSCALL","Cirsium callilepis","APISMELL","Apis mellifera","social bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,04,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,05,S,ST,,1,1,"ACHIMILL","Achillea millefolium","PENTARX1","Pentaria sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,05,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,05,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,06,S,ST,,1,1,"ACHIMILL","Achillea millefolium","PENTARX1","Pentaria sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,06,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,06,S,ST,,1,1,"CIRSCALL","Cirsium callilepis","HESPCOLO","Hesperia colorado","herbivorous butterfly; diurnal","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,06,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,07,S,ST,,1,1,"ACHIMILL","Achillea millefolium","PENTARX1","Pentaria sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,07,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,07,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,08,S,ST,,1,1,"ACHIMILL","Achillea millefolium","PENTARX1","Pentaria sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,08,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,08,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,08,S,ST,,1,2,"ERIGFOLI","Erigeron foliosus","NOWISPX1","Nowickia sp 1","predaceous muscoid fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,09,S,ST,,1,1,"ACHIMILL","Achillea millefolium","PENTARX1","Pentaria sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,09,S,ST,,1,1,"ACHIMILL","Achillea millefolium","TRICORNA","Trichodes ornatus","bee-predator beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,09,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,09,S,ST,,1,2,"CAMPSCOU","Campanula scouleri","DUFOCAMP","Dufourea campanulae","solitary bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,09,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,10,S,ST,,1,1,"ACHIMILL","Achillea millefolium","PENTARX1","Pentaria sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,10,S,ST,,1,1,"ACHIMILL","Achillea millefolium","TRICORNA","Trichodes ornatus","bee-predator beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,10,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,10,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,10,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","PLEBACMO","Plebejus acmon","herbivorous butterfly; diurnal","21794",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,11,S,ST,,1,1,"ACHIMILL","Achillea millefolium","PENTARX1","Pentaria sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,11,S,ST,,1,1,"ACHIMILL","Achillea millefolium","TRICORNA","Trichodes ornatus","bee-predator beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,11,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,11,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,12,S,ST,,1,1,"ACHIMILL","Achillea millefolium","PENTARX1","Pentaria sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,12,S,ST,,1,1,"ACHIMILL","Achillea millefolium","TRICORNA","Trichodes ornatus","bee-predator beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,12,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,12,S,ST,,1,1,"CIRSCALL","Cirsium callilepis","APISMELL","Apis mellifera","social bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,12,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,13,S,ST,,1,1,"ACHIMILL","Achillea millefolium","PENTARX1","Pentaria sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,13,S,ST,,1,1,"ACHIMILL","Achillea millefolium","TRICORNA","Trichodes ornatus","bee-predator beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,13,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,13,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,14,S,ST,,1,1,"ACHIMILL","Achillea millefolium","PENTARX1","Pentaria sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,14,S,ST,,1,1,"ACHIMILL","Achillea millefolium","TRICORNA","Trichodes ornatus","bee-predator beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,14,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,14,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,15,S,ST,,1,1,"ACHIMILL","Achillea millefolium","PENTARX1","Pentaria sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,15,S,ST,,1,1,"ACHIMILL","Achillea millefolium","TRICORNA","Trichodes ornatus","bee-predator beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,15,S,ST,,1,1,"AGOSAURA","Agoseris aurantiaca","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,1030,NA,15,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-14,5,"Andy",1,1325,NA,05,S,ST,,1,1,"ACHIMILL","Achillea millefolium","EVYLSPX1","Evylaeus sp 1","semi-social bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-14,5,"Andy",1,1325,NA,09,S,ST,,1,1,"ASTELEDO","Aster ledophyllus","ANDRSCUT","Andrena scutellinitens","solitary bee","21986",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-08-14,5,"Andy",1,1325,NA,13,S,ST,,1,1,"ACHIMILL","Achillea millefolium","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
